CaO+MgO,Fe2O3*,MgO,CaO,S,Zn,Pb,Cu,'Type de roche'
'\'(43.125-45.715]\'','\'(0.195-0.255]\'','\'(17.21-18.83]\'','\'(18.34-25.13]\'','\'(790.5-1247.5]\'','\'(36.5-117]\'','\'(37.5-inf)\'','\'(2.5-3.5]\'',C1
'\'(30.03-43.125]\'','\'(0.145-0.195]\'','\'(17.21-18.83]\'','\'(18.34-25.13]\'','\'(790.5-1247.5]\'','\'(4.5-5.5]\'','\'(5.5-6.5]\'','\'(5.5-13]\'',C1
'\'(30.03-43.125]\'','\'(0.55-1.99]\'','\'(17.21-18.83]\'','\'(18.34-25.13]\'','\'(790.5-1247.5]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(3.5-4.5]\'',C1
'\'(30.03-43.125]\'','\'(0.195-0.255]\'','\'(9.07-17.21]\'','\'(18.34-25.13]\'','\'(-inf-91]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(0.5-1.5]\'',C1
'\'(30.03-43.125]\'','\'(0.335-0.55]\'','\'(9.07-17.21]\'','\'(18.34-25.13]\'','\'(790.5-1247.5]\'','\'(2.5-3.5]\'','\'(-inf-5.5]\'','\'(4.5-5.5]\'',C1
'\'(30.03-43.125]\'','\'(0.255-0.335]\'','\'(9.07-17.21]\'','\'(-inf-18.34]\'','\'(298.5-435]\'','\'(2.5-3.5]\'','\'(7.5-12.5]\'','\'(1.5-2.5]\'',C1
'\'(-inf-30.03]\'','\'(0.195-0.255]\'','\'(9.07-17.21]\'','\'(-inf-18.34]\'','\'(1247.5-9445.5]\'','\'(117-inf)\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',C1
'\'(43.125-45.715]\'','\'(1.99-inf)\'','\'(17.21-18.83]\'','\'(25.13-26.87]\'','\'(9445.5-inf)\'','\'(4.5-5.5]\'','\'(-inf-5.5]\'','\'(1.5-2.5]\'',noC1
'\'(45.715-46.78]\'','\'(1.99-inf)\'','\'(18.83-19.46]\'','\'(25.13-26.87]\'','\'(9445.5-inf)\'','\'(15-36.5]\'','\'(6.5-7.5]\'','\'(1.5-2.5]\'',noC1
'\'(45.715-46.78]\'','\'(0.55-1.99]\'','\'(18.83-19.46]\'','\'(25.13-26.87]\'','\'(1247.5-9445.5]\'','\'(5.5-8]\'','\'(-inf-5.5]\'','\'(3.5-4.5]\'',noC1
'\'(30.03-43.125]\'','\'(1.99-inf)\'','\'(9.07-17.21]\'','\'(18.34-25.13]\'','\'(9445.5-inf)\'','\'(8-15]\'','\'(12.5-37.5]\'','\'(13-244.5]\'',noC1
'\'(-inf-30.03]\'','\'(1.99-inf)\'','\'(-inf-9.07]\'','\'(18.34-25.13]\'','\'(1247.5-9445.5]\'','\'(8-15]\'','\'(-inf-5.5]\'','\'(244.5-inf)\'',noC1
'\'(30.03-43.125]\'','\'(1.99-inf)\'','\'(9.07-17.21]\'','\'(18.34-25.13]\'','\'(9445.5-inf)\'','\'(8-15]\'','\'(-inf-5.5]\'','\'(244.5-inf)\'',noC1
'\'(46.78-47.5]\'','\'(0.335-0.55]\'','\'(19.46-19.8]\'','\'(27.35-27.83]\'','\'(1247.5-9445.5]\'','\'(117-inf)\'','\'(37.5-inf)\'','\'(2.5-3.5]\'',noC1
'\'(-inf-30.03]\'','\'(1.99-inf)\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(9445.5-inf)\'','\'(117-inf)\'','\'(37.5-inf)\'','\'(13-244.5]\'',noC1
'\'(30.03-43.125]\'','\'(0.55-1.99]\'','\'(9.07-17.21]\'','\'(18.34-25.13]\'','\'(9445.5-inf)\'','\'(117-inf)\'','\'(37.5-inf)\'','\'(244.5-inf)\'',noC1
'\'(30.03-43.125]\'','\'(0.335-0.55]\'','\'(17.21-18.83]\'','\'(25.13-26.87]\'','\'(1247.5-9445.5]\'','\'(117-inf)\'','\'(5.5-6.5]\'','\'(5.5-13]\'',noC1
'\'(48.59-49.84]\'','\'(0.335-0.55]\'','\'(20.36-20.77]\'','\'(27.83-28.475]\'','\'(790.5-1247.5]\'','\'(117-inf)\'','\'(5.5-6.5]\'','\'(1.5-2.5]\'',noC1
'\'(43.125-45.715]\'','\'(0.55-1.99]\'','\'(17.21-18.83]\'','\'(18.34-25.13]\'','\'(9445.5-inf)\'','\'(117-inf)\'','\'(37.5-inf)\'','\'(13-244.5]\'',noC1
'\'(-inf-30.03]\'','\'(1.99-inf)\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(1247.5-9445.5]\'','\'(15-36.5]\'','\'(6.5-7.5]\'','\'(5.5-13]\'',noC1
'\'(-inf-30.03]\'','\'(0.55-1.99]\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(1247.5-9445.5]\'','\'(36.5-117]\'','\'(12.5-37.5]\'','\'(13-244.5]\'',noC1
'\'(-inf-30.03]\'','\'(1.99-inf)\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(9445.5-inf)\'','\'(15-36.5]\'','\'(37.5-inf)\'','\'(244.5-inf)\'',noC1
'\'(-inf-30.03]\'','\'(1.99-inf)\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(9445.5-inf)\'','\'(36.5-117]\'','\'(12.5-37.5]\'','\'(13-244.5]\'',noC1
'\'(-inf-30.03]\'','\'(1.99-inf)\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(9445.5-inf)\'','\'(8-15]\'','\'(7.5-12.5]\'','\'(4.5-5.5]\'',noC1
'\'(-inf-30.03]\'','\'(1.99-inf)\'','\'(9.07-17.21]\'','\'(-inf-18.34]\'','\'(208-298.5]\'','\'(36.5-117]\'','\'(-inf-5.5]\'','\'(3.5-4.5]\'',noC1
'\'(-inf-30.03]\'','\'(0.55-1.99]\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(162-208]\'','\'(8-15]\'','\'(6.5-7.5]\'','\'(1.5-2.5]\'',noC1
'\'(-inf-30.03]\'','\'(0.55-1.99]\'','\'(-inf-9.07]\'','\'(-inf-18.34]\'','\'(435-790.5]\'','\'(8-15]\'','\'(5.5-6.5]\'','\'(244.5-inf)\'',noC1
'\'(30.03-43.125]\'','\'(0.55-1.99]\'','\'(9.07-17.21]\'','\'(18.34-25.13]\'','\'(298.5-435]\'','\'(8-15]\'','\'(-inf-5.5]\'','\'(4.5-5.5]\'',noC1
'\'(30.03-43.125]\'','\'(0.55-1.99]\'','\'(-inf-9.07]\'','\'(28.475-29.205]\'','\'(790.5-1247.5]\'','\'(15-36.5]\'','\'(-inf-5.5]\'','\'(4.5-5.5]\'',C1
